arm,max_rounds,category,n,exact_match,exact_match_ci95,f1,f1_bootstrap_ci95,cold_p50_ms,cold_p95_ms,mean_component_ms_cache_construction_ms,mean_component_ms_controller_ms,mean_component_ms_final_generation_ms,mean_component_ms_other_query_ms,mean_component_ms_reranking_ms,mean_component_ms_retrieval_ms,mean_component_ms_tokenization_ms,mean_counts_all_models_prefill_tokens,mean_counts_bridge_recomputed_tokens,mean_counts_cache_prefill_tokens,mean_counts_controller_calls,mean_counts_controller_prefill_tokens,mean_counts_final_prefill_tokens,mean_counts_host_output_tokens,mean_counts_internal_decoded_tokens,mean_counts_max_model_context_tokens,mean_counts_primary_model_prefill_tokens,mean_counts_reranker_input_tokens,mean_counts_reranker_scored_documents,mean_counts_retrieval_calls,mean_counts_retrieved_documents,mean_counts_retrieved_evidence_tokens,mean_counts_total_prefill_tokens,mean_executed_rounds,fraction_invalid_action,fraction_final_token_cap,mean_support_annotation_coverage,stop_reasons
iterative_text,5,3hop,32,0.03125,"[0.005537860164003122, 0.15744263820012558]",0.04541401580875265,"[0.003289473684210526, 0.11745348949296314]",2643.1307085149456,4817.583008290966,0.0,2066.19462231356,770.0169713407377,0.40142066245607566,0.0,9.667153408372542,2.3614742422068957,3515.78125,0,0,1.90625,2282.59375,1233.1875,8.78125,35.0625,1355.09375,3515.78125,0,0,1.90625,8.71875,1089.0625,3515.78125,1.90625,0,0.0625,0.53125,"{""repeated_query_fallback_to_final"": 32}"
iterative_text,5,4hop,32,0.0,"[0.0, 0.1071791982550706]",0.0,"[0.0, 0.0]",2701.5394369955175,3812.298593457672,0.0,2189.509194036873,553.4509283424995,0.41802254418144,0.0,11.646822746115504,2.531184587496682,3611.34375,0,0,2,2361.4375,1249.90625,2.625,38.4375,1380.875,3611.34375,0,0,2,9,1100.1875,3611.34375,2,0,0,0.390625,"{""repeated_query_fallback_to_final"": 32}"
iterative_text,5,all,96,0.03125,"[0.010684070371201164, 0.0878867932453698]",0.04877754281537176,"[0.01636761675824176, 0.08985886817404087]",2555.0342295027804,4142.4247607792495,0.0,2022.6100676839753,658.9104730792315,0.39864252660966787,0.0,10.3908106242064,2.3462208907100526,3564.2708333333335,0,0,1.9375,2320.3958333333335,1243.875,5.364583333333333,33.083333333333336,1365.3020833333333,3564.2708333333335,0,0,1.9375,8.8125,1100.28125,3564.2708333333335,1.9375,0.041666666666666664,0.03125,0.53125,"{""repeated_query_fallback_to_final"": 90, ""invalid_action_fallback_to_final"": 4, ""controller_answer"": 2}"
relay_kv_bf16,5,2hop,32,0.03125,"[0.005537860164003122, 0.15744263820012558]",0.08213141025641026,"[0.014423076923076924, 0.17588141025641024]",2780.2684789930936,3662.7662542276084,1521.0856157864328,905.970725341831,137.22142837832507,0.39416190338670276,0.0,7.51267581290449,2.256812025734689,1789.3125,358.53125,1174.84375,1.6875,207,48.9375,1.96875,22.15625,1332.6875,1789.3125,0,0,1.6875,8.0625,1086.84375,1789.3125,1.6875,0.0625,0,0.609375,"{""repeated_query_fallback_to_final"": 25, ""controller_answer"": 5, ""invalid_action_fallback_to_final"": 2}"
relay_kv_bf16,5,3hop,32,0.03125,"[0.005537860164003122, 0.15744263820012558]",0.03125,"[0.0, 0.09375]",2869.7775000182446,4423.735893916455,1551.9927814020775,1359.3857786472654,119.77702747572039,0.4248803470545681,0.0,9.053984249476343,2.448225039188401,1792.46875,373.78125,1112.78125,1.78125,249.78125,56.125,1.46875,35.09375,1290.0625,1792.46875,0,0,1.78125,8.34375,1024.78125,1792.46875,1.78125,0.03125,0,0.5416666666666666,"{""repeated_query_fallback_to_final"": 31, ""invalid_action_fallback_to_final"": 1}"
relay_kv_bf16,5,4hop,32,0.0,"[0.0, 0.1071791982550706]",0.0,"[0.0, 0.0]",3284.721207979601,6278.5732232849105,1768.015333374933,1630.8730895580084,103.80692971921235,0.4724860209535109,0.0,12.012683497232501,2.8040547367709223,1983.96875,422.78125,1191.1875,2,308.28125,61.71875,1,42.1875,1385.1875,1983.96875,0,0,2,9,1103.1875,1983.96875,2,0,0,0.3671875,"{""repeated_query_fallback_to_final"": 32}"
relay_kv_bf16,5,all,96,0.020833333333333332,"[0.005731969852430421, 0.07280713517784211]",0.037793803418803416,"[0.006944444444444444, 0.07598824786324786]",2951.543875038624,4898.989031236852,1613.6979101878144,1298.743197849035,120.2684618577526,0.43050942379826057,0.0,9.526447853204445,2.5030306005646707,1855.25,385.03125,1159.6041666666667,1.8229166666666667,255.02083333333334,55.59375,1.4791666666666667,33.145833333333336,1335.9791666666667,1855.25,0,0,1.8229166666666667,8.46875,1071.6041666666667,1855.25,1.8229166666666667,0.03125,0,0.5060763888888888,"{""repeated_query_fallback_to_final"": 88, ""controller_answer"": 5, ""invalid_action_fallback_to_final"": 3}"
relay_kv_int8,5,2hop,32,0.03125,"[0.005537860164003122, 0.15744263820012558]",0.08213141025641026,"[0.014423076923076924, 0.17588141025641024]",2760.105437540915,4249.970037644379,1560.3328476208844,936.3547903467406,141.54709371905483,0.40565758718003053,0.0,7.726835958237643,2.401552055744105,1813.375,366.71875,1186.1875,1.71875,211.53125,48.9375,1.96875,22.78125,1344.5625,1813.375,0,0,1.71875,8.15625,1098.1875,1813.375,1.71875,0.0625,0,0.609375,"{""repeated_query_fallback_to_final"": 25, ""controller_answer"": 5, ""invalid_action_fallback_to_final"": 2}"
relay_kv_int8,5,3hop,32,0.03125,"[0.005537860164003122, 0.15744263820012558]",0.03125,"[0.0, 0.09375]",2965.2643750305288,4748.806064936798,1593.760747460692,1305.787908973798,124.97122784770909,0.4316454451327445,0.0,10.58751168056915,2.478811429682537,1831.90625,388.34375,1133.3125,1.8125,254.125,56.125,1.5,33.25,1309.96875,1831.90625,0,0,1.8125,8.4375,1045.3125,1831.90625,1.8125,0.03125,0,0.5416666666666666,"{""repeated_query_fallback_to_final"": 31, ""invalid_action_fallback_to_final"": 1}"
relay_kv_int8,5,4hop,32,0.0,"[0.0, 0.1071791982550706]",0.0,"[0.0, 0.0]",3287.972937512677,6375.878474718774,1777.775128808571,1620.1621184463875,112.5250039040111,0.47994160013331566,0.0,12.280440003451076,2.851722645573318,1977.875,421.8125,1186.34375,2,308,61.71875,1.09375,41.625,1380.0625,1977.875,0,0,2,9,1098.34375,1977.875,2,0,0,0.3671875,"{""repeated_query_fallback_to_final"": 32}"
relay_kv_int8,5,all,96,0.020833333333333332,"[0.005731969852430421, 0.07280713517784211]",0.037793803418803416,"[0.006944444444444444, 0.07598824786324786]",2986.594917019829,5031.553833221551,1643.956241296716,1287.4349392556421,126.34777515692501,0.4390815441486969,0.0,10.19826254741929,2.5773620436666533,1874.3854166666667,392.2916666666667,1168.6145833333333,1.84375,257.8854166666667,55.59375,1.5208333333333333,32.552083333333336,1344.8645833333333,1874.3854166666667,0,0,1.84375,8.53125,1080.6145833333333,1874.3854166666667,1.84375,0.03125,0,0.5060763888888888,"{""repeated_query_fallback_to_final"": 88, ""controller_answer"": 5, ""invalid_action_fallback_to_final"": 3}"
reranked_rag,1,2hop,32,0.09375,"[0.032401551298366194, 0.24218154728387864]",0.11442307692307692,"[0.026923076923076925, 0.23317307692307693]",813.2099795038812,1380.4960709792792,0.0,0.0,583.1476965304319,0.18412922872812487,279.7224947553332,4.743038911328767,1.467117079300806,5209.03125,0,0,0,0,976.15625,5.40625,0,1024.15625,976.15625,4232.875,20,1,6,839.21875,976.15625,1,0,0.03125,0.640625,"{""single_retrieval_baseline"": 32}"
reranked_rag,1,3hop,32,0.0,"[0.0, 0.1071791982550706]",0.00792572463768116,"[0.0, 0.021059782608695652]",738.005396007793,1467.7138312486932,0.0,0.0,526.2097540944524,0.17947415653907228,278.7198619389528,5.40451690176269,1.448269216780318,5268.25,0,0,0,0,939.5,4.75,0,987.5,939.5,4328.75,20,1,6,795.375,939.5,1,0,0,0.5520833333333333,"{""single_retrieval_baseline"": 32}"
reranked_rag,1,4hop,32,0.0,"[0.0, 0.1071791982550706]",0.013257575757575756,"[0.0, 0.03693181818181818]",734.8624579899479,1547.1717143867863,0.0,0.0,558.1721588205255,0.18411033488519024,287.3695222187962,6.532425813929876,1.576402530190535,5494.96875,0,0,0,0,985.4375,5.40625,0,1033.4375,985.4375,4509.53125,20,1,6,835.71875,985.4375,1,0,0,0.3984375,"{""single_retrieval_baseline"": 32}"
reranked_rag,1,all,96,0.03125,"[0.010684070371201164, 0.0878867932453698]",0.04520212577277795,"[0.014230346947738252, 0.0874190694571129]",749.3873125058599,1521.0281247418607,0.0,0.0,555.8432031484699,0.1825712400507958,281.9372929710274,5.559993875673778,1.497262942090553,5324.083333333333,0,0,0,0,967.03125,5.1875,0,1015.03125,967.03125,4357.052083333333,20,1,6,823.4375,967.03125,1,0,0.010416666666666666,0.5303819444444444,"{""single_retrieval_baseline"": 96}"
