profile_id,model_id,provider,screen,run_label,arm,n_questions,observed_local_correct_unchanged,measured_local_mean_s,measured_local_p50_s,measured_local_p95_s,profile_ttft_proxy_s,profile_reported_tps,metric_semantics,scenario_A_mean_s,scenario_A_p50_s,scenario_A_p95_s,scenario_B_mean_s,scenario_B_p50_s,scenario_B_p95_s,source_id,source_url,source_period,source_snapshot_sha256,projection_sha256,workload_sha256
lambda122b-lambda-8xh100-vllm,Qwen/Qwen3.5-122B-A10B,Lambda 8xH100 vLLM,native,native/122b,basic_rag,12,1.0,2.3722685277559017,1.6773716040188447,5.649744193744841,1.06,62.5,decode_tps_from_tpot,1.0913699824974563,1.074717333513545,1.130685316161369,,,,lambda122b,https://lambda.ai/inference-models/qwen/qwen3.5-122b-a10b,"Benchmark publication date not stated; retrieved September11,2026",d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
lambda122b-lambda-8xh100-vllm,Qwen/Qwen3.5-122B-A10B,Lambda 8xH100 vLLM,native,native/122b,iterative_text,12,1.0,8.113597531152967,8.036557228973834,13.362317233005886,1.06,62.5,decode_tps_from_tpot,3.919932979322272,4.149358312553494,5.311033319996297,,,,lambda122b,https://lambda.ai/inference-models/qwen/qwen3.5-122b-a10b,"Benchmark publication date not stated; retrieved September11,2026",d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
openrouter122b-alibaba,Qwen/Qwen3.5-122B-A10B,Alibaba,native,native/122b,basic_rag,12,1.0,2.3722685277559017,1.6773716040188447,5.649744193744841,0.96,99,ambiguous_reported_throughput,0.9854709925984663,0.9747173335135448,1.0129883464643992,0.9753699824974561,0.9744062710169237,0.9826853161613689,openrouter122b,https://openrouter.ai/qwen/qwen3.5-122b-a10b/benchmarks,Exact provider-table aggregation dates/window not exposed; stale cached page,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
openrouter122b-alibaba,Qwen/Qwen3.5-122B-A10B,Alibaba,native,native/122b,iterative_text,12,1.0,8.113597531152967,8.036557228973834,13.362317233005886,0.96,99,ambiguous_reported_throughput,3.4553471207364126,3.6489340701292505,4.663108067471044,3.230599645988938,3.392622457947582,4.320550756205804,openrouter122b,https://openrouter.ai/qwen/qwen3.5-122b-a10b/benchmarks,Exact provider-table aggregation dates/window not exposed; stale cached page,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
openrouter122b-atlascloud,Qwen/Qwen3.5-122B-A10B,AtlasCloud,native,native/122b,basic_rag,12,1.0,2.3722685277559017,1.6773716040188447,5.649744193744841,1.13,84,ambiguous_reported_throughput,1.157274744402218,1.1447173335135448,1.1883996018756546,1.1453699824974561,1.1444062710169236,1.1526853161613688,openrouter122b,https://openrouter.ai/qwen/qwen3.5-122b-a10b/benchmarks,Exact provider-table aggregation dates/window not exposed; stale cached page,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
openrouter122b-atlascloud,Qwen/Qwen3.5-122B-A10B,AtlasCloud,native,native/122b,iterative_text,12,1.0,8.113597531152967,8.036557228973834,13.362317233005886,1.13,84,ambiguous_reported_throughput,4.062147265036557,4.289929741124921,5.481657129520106,3.7972663126556045,3.9876224579475816,5.077050756205804,openrouter122b,https://openrouter.ai/qwen/qwen3.5-122b-a10b/benchmarks,Exact provider-table aggregation dates/window not exposed; stale cached page,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
openrouter122b-novita,Qwen/Qwen3.5-122B-A10B,Novita,native,native/122b,basic_rag,12,1.0,2.3722685277559017,1.6773716040188447,5.649744193744841,0.8,84,ambiguous_reported_throughput,0.8272747444022182,0.8147173335135449,0.8583996018756547,0.8153699824974563,0.8144062710169238,0.822685316161369,openrouter122b,https://openrouter.ai/qwen/qwen3.5-122b-a10b/benchmarks,Exact provider-table aggregation dates/window not exposed; stale cached page,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
openrouter122b-novita,Qwen/Qwen3.5-122B-A10B,Novita,native,native/122b,iterative_text,12,1.0,8.113597531152967,8.036557228973834,13.362317233005886,0.8,84,ambiguous_reported_throughput,2.9621472650365575,3.134929741124922,4.013157129520107,2.697266312655605,2.8326224579475823,3.6085507562058043,openrouter122b,https://openrouter.ai/qwen/qwen3.5-122b-a10b/benchmarks,Exact provider-table aggregation dates/window not exposed; stale cached page,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
openrouter122b-siliconflow,Qwen/Qwen3.5-122B-A10B,SiliconFlow,native,native/122b,basic_rag,12,1.0,2.3722685277559017,1.6773716040188447,5.649744193744841,1.49,30,ambiguous_reported_throughput,1.5387033158307897,1.5047173335135449,1.612685316161369,1.505369982497456,1.5044062710169237,1.512685316161369,openrouter122b,https://openrouter.ai/qwen/qwen3.5-122b-a10b/benchmarks,Exact provider-table aggregation dates/window not exposed; stale cached page,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
openrouter122b-siliconflow,Qwen/Qwen3.5-122B-A10B,SiliconFlow,native,native/122b,iterative_text,12,1.0,8.113597531152967,8.036557228973834,13.362317233005886,1.49,30,ambiguous_reported_throughput,5.738932979322271,6.096358312553493,7.820799986662963,4.997266312655605,5.247622457947582,6.679050756205804,openrouter122b,https://openrouter.ai/qwen/qwen3.5-122b-a10b/benchmarks,Exact provider-table aggregation dates/window not exposed; stale cached page,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
